Number of clicks on similar products,Number of similar products purchased so far,Average rating given to similar products,Gender,Median purchasing price (in rupees),Rating of the product,Brand of the product,Customer review sentiment score (overall),Price of the product,Holiday,Season,Geographical locations,Probability for the product to be recommended to the person
9,4,2.9,male,3000,3.1,Wildcraft,0.0,600,Yes,winter,plains,0.1
24,12,4.5,female,900,4.6,Flying Machine,0.8,300,No,winter,plains,0.9
13,7,3.7,male,100,3.8,Sugar Cosmetics,0.6,200,No,summer,coastal,0.7
6,3,2.9,female,6000,3.1,Wildcraft,0.0,500,Yes,winter,plains,0.1
21,11,4.4,male,500,4.6,Urban Ladder,0.7,400,No,summer,plains,0.8
32,16,4.8,female,2000,4.9,Lakme Ayurveda,0.9,700,No,winter,plains,1.0
17,9,4.1,male,400,4.2,Head Hunters,0.8,200,No,summer,coastal,0.9
25,13,4.6,female,300,4.7,Manyavar Mohey,0.9,800,No,winter,plains,1.0
19,9,4.2,male,200,4.3,Pepe Jeans London,0.8,300,No,summer,plains,0.9
34,17,4.9,female,7000,5.0,Wakefit,0.9,900,Yes,winter,mountains,1.0
22,11,4.5,male,1000,4.7,Wildcraft,0.8,400,No,winter,plains,0.9
16,8,3.8,female,400,4.0,Johnson & Johnson,0.7,200,No,summer,plains,0.8
10,5,3.1,male,5000,3.2,Lakme Ayurveda,0.0,600,Yes,summer,coastal,0.1
27,13,4.6,male,1000,4.8,Pepperfry,0.9,800,No,summer,plains,1.0
7,3,2.9,female,4000,3.1,Forest Essentials,0.0,500,Yes,winter,plains,0.1
23,11,4.4,male,800,4.6,Manyavar Mohey,0.7,400,No,summer,plains,0.8
12,6,3.3,female,2000,3.5,Wildcraft,0.5,500,Yes,winter,mountains,0.6
28,14,4.7,male,100,4.8,Pepe Jeans London,0.9,800,No,winter,mountains,1.0
16,8,3.8,female,900,4.0,Johnson & Johnson,0.7,200,No,summer,plains,0.8
8,4,3.2,male,3000,3.4,Fastrack,0.2,400,No,winter,plains,0.3
31,15,4.7,female,600,4.8,Wildcraft,0.9,700,No,winter,plains,1.0
20,10,4.3,male,1000,4.4,Lee,0.8,300,No,summer,plains,0.9
11,5,3.2,female,4000,3.4,Patanjali Ayurved (Health Care),0.1,500,Yes,winter,plains,0.2
28,14,4.7,male,200,4.8,Pepe Jeans London,0.9,800,No,winter,mountains,1.0
15,8,3.9,female,500,4.1,Manyavar Mohey,0.7,200,No,summer,plains,0.8
9,4,2.9,male,3000,3.1,Wildcraft,0.0,600,Yes,winter,plains,0.1
24,12,4.5,female,900,4.6,Flying Machine,0.8,300,No,winter,plains,0.9
13,7,3.7,male,100,3.8,Sugar Cosmetics,0.6,200,No,summer,coastal,0.7
6,3,2.9,female,6000,3.1,Wildcraft,0.0,500,Yes,winter,plains,0.1
21,11,4.4,male,500,4.6,Urban Ladder,0.7,400,No,summer,plains,0.8
32,16,4.8,female,2000,4.9,Lakme Ayurveda,0.9,700,No,winter,plains,1.0
17,9,4.1,male,400,4.2,Head Hunters,0.8,200,No,summer,coastal,0.9
25,13,4.6,female,300,4.7,Manyavar Mohey,0.9,800,No,winter,plains,1.0
19,9,4.2,male,200,4.3,Pepe Jeans London,0.8,300,No,summer,plains,0.9
34,17,4.9,female,7000,5.0,Wakefit,0.9,900,Yes,winter,mountains,1.0
22,11,4.5,male,1000,4.7,Wildcraft,0.8,400,No,winter,plains,0.9
16,8,3.8,female,400,4.0,Johnson & Johnson,0.7,200,No,summer,plains,0.8
10,5,3.1,male,5000,3.2,Lakme Ayurveda,0.0,600,Yes,summer,coastal,0.1
27,13,4.6,male,1000,4.8,Pepperfry,0.9,800,No,summer,plains,1.0
7,3,2.9,female,4000,3.1,Forest Essentials,0.0,500,Yes,winter,plains,0.1
23,11,4.4,male,800,4.6,Manyavar Mohey,0.7,400,No,summer,plains,0.8
12,6,3.3,female,2000,3.5,Wildcraft,0.5,500,Yes,winter,mountains,0.6
28,14,4.7,male,100,4.8,Pepe Jeans London,0.9,800,No,winter,mountains,1.0
16,8,3.8,female,900,4.0,Johnson & Johnson,0.7,200,No,summer,plains,0.8
8,4,3.2,male,3000,3.4,Fastrack,0.2,400,No,winter,plains,0.3
31,15,4.7,female,600,4.8,Wildcraft,0.9,700,No,winter,plains,1.0
20,10,4.3,male,1000,4.4,Lee,0.8,300,No,summer,plains,0.9
11,5,3.2,female,4000,3.4,Patanjali Ayurved (Health Care),0.1,500,Yes,winter,plains,0.2
28,14,4.7,male,200,4.8,Pepe Jeans London,0.9,800,No,winter,mountains,1.0
15,8,3.9,female,500,4.1,Manyavar Mohey,0.7,200,No,summer,plains,0.8
9,4,2.9,male,3000,3.1,Wildcraft,0.0,600,Yes,winter,plains,0.1
24,12,4.5,female,900,4.6,Flying Machine,0.8,300,No,winter,plains,0.9
13,7,3.7,male,100,3.8,Sugar Cosmetics,0.6,200,No,summer,coastal,0.7
6,3,2.9,female,6000,3.1,Wildcraft,0.0,500,Yes,winter,plains,0.1
21,11,4.4,male,500,4.6,Urban Ladder,0.7,400,No,summer,plains,0.8
32,16,4.8,female,2000,4.9,Lakme Ayurveda,0.9,700,No,winter,plains,1.0
17,9,4.1,male,400,4.2,Head Hunters,0.8,200,No,summer,coastal,0.9
25,13,4.6,female,300,4.7,Manyavar Mohey,0.9,800,No,winter,plains,1.0
19,9,4.2,male,200,4.3,Pepe Jeans London,0.8,300,No,summer,plains,0.9
34,17,4.9,female,7000,5.0,Wakefit,0.9,900,Yes,winter,mountains,1.0
22,11,4.5,male,1000,4.7,Wildcraft,0.8,400,No,winter,plains,0.9
16,8,3.8,female,400,4.0,Johnson & Johnson,0.7,200,No,summer,plains,0.8
10,5,3.1,male,5000,3.2,Lakme Ayurveda,0.0,600,Yes,summer,coastal,0.1
27,13,4.6,male,1000,4.8,Pepperfry,0.9,800,No,summer,plains,1.0
7,3,2.9,female,4000,3.1,Forest Essentials,0.0,500,Yes,winter,plains,0.1
23,11,4.4,male,800,4.6,Manyavar Mohey,0.7,400,No,summer,plains,0.8
12,6,3.3,female,2000,3.5,Wildcraft,0.5,500,Yes,winter,mountains,0.6
28,14,4.7,male,100,4.8,Pepe Jeans London,0.9,800,No,winter,mountains,1.0
16,8,3.8,female,900,4.0,Johnson & Johnson,0.7,200,No,summer,plains,0.8
8,4,3.2,male,3000,3.4,Fastrack,0.2,400,No,winter,plains,0.3
31,15,4.7,female,600,4.8,Wildcraft,0.9,700,No,winter,plains,1.0
20,10,4.3,male,1000,4.4,Lee,0.8,300,No,summer,plains,0.9
11,5,3.2,female,4000,3.4,Patanjali Ayurved (Health Care),0.1,500,Yes,winter,plains,0.2
28,14,4.7,male,200,4.8,Pepe Jeans London,0.9,800,No,winter,mountains,1.0
15,8,3.9,female,500,4.1,Manyavar Mohey,0.7,200,No,summer,plains,0.8
9,4,2.9,male,3000,3.1,Wildcraft,0.0,600,Yes,winter,plains,0.1
24,12,4.5,female,900,4.6,Flying Machine,0.8,300,No,winter,plains,0.9
13,7,3.7,male,100,3.8,Sugar Cosmetics,0.6,200,No,summer,coastal,0.7
6,3,2.9,female,6000,3.1,Wildcraft,0.0,500,Yes,winter,plains,0.1
21,11,4.4,male,500,4.6,Urban Ladder,0.7,400,No,summer,plains,0.8
32,16,4.8,female,2000,4.9,Lakme Ayurveda,0.9,700,No,winter,plains,1.0
17,9,4.1,male,400,4.2,Head Hunters,0.8,200,No,summer,coastal,0.9
25,13,4.6,female,300,4.7,Manyavar Mohey,0.9,800,No,winter,plains,1.0
19,9,4.2,male,200,4.3,Pepe Jeans London,0.8,300,No,summer,plains,0.9
34,17,4.9,female,7000,5.0,Wakefit,0.9,900,Yes,winter,mountains,1.0
22,11,4.5,male,1000,4.7,Wildcraft,0.8,400,No,winter,plains,0.9
16,8,3.8,female,400,4.0,Johnson & Johnson,0.7,200,No,summer,plains,0.8
10,5,3.1,male,5000,3.2,Lakme Ayurveda,0.0,600,Yes,summer,coastal,0.1
27,13,4.6,male,1000,4.8,Pepperfry,0.9,800,No,summer,plains,1.0
7,3,2.9,female,4000,3.1,Forest Essentials,0.0,500,Yes,winter,plains,0.1
23,11,4.4,male,800,4.6,Manyavar Mohey,0.7,400,No,summer,plains,0.8
12,6,3.3,female,2000,3.5,Wildcraft,0.5,500,Yes,winter,mountains,0.6
28,14,4.7,male,100,4.8,Pepe Jeans London,0.9,800,No,winter,mountains,1.0
16,8,3.8,female,900,4.0,Johnson & Johnson,0.7,200,No,summer,plains,0.8
8,4,3.2,male,3000,3.4,Fastrack,0.2,400,No,winter,plains,0.3
31,15,4.7,female,600,4.8,Wildcraft,0.9,700,No,winter,plains,1.0
20,10,4.3,male,1000,4.4,Lee,0.8,300,No,summer,plains,0.9
11,5,3.2,female,4000,3.4,Patanjali Ayurved (Health Care),0.1,500,Yes,winter,plains,0.2
28,14,4.7,male,200,4.8,Pepe Jeans London,0.9,800,No,winter,mountains,1.0
15,8,3.9,female,500,4.1,Manyavar Mohey,0.7,200,No,summer,plains,0.8
9,4,2.9,male,3000,3.1,Wildcraft,0.0,600,Yes,winter,plains,0.1
24,12,4.5,female,900,4.6,Flying Machine,0.8,300,No,winter,plains,0.9
13,7,3.7,male,100,3.8,Sugar Cosmetics,0.6,200,No,summer,coastal,0.7
6,3,2.9,female,6000,3.1,Wildcraft,0.0,500,Yes,winter,plains,0.1
21,11,4.4,male,500,4.6,Urban Ladder,0.7,400,No,summer,plains,0.8
32,16,4.8,female,2000,4.9,Lakme Ayurveda,0.9,700,No,winter,plains,1.0
17,9,4.1,male,400,4.2,Head Hunters,0.8,200,No,summer,coastal,0.9
25,13,4.6,female,300,4.7,Manyavar Mohey,0.9,800,No,winter,plains,1.0
19,9,4.2,male,200,4.3,Pepe Jeans London,0.8,300,No,summer,plains,0.9
34,17,4.9,female,7000,5.0,Wakefit,0.9,900,Yes,winter,mountains,1.0
22,11,4.5,male,1000,4.7,Wildcraft,0.8,400,No,winter,plains,0.9
16,8,3.8,female,400,4.0,Johnson & Johnson,0.7,200,No,summer,plains,0.8
10,5,3.1,male,5000,3.2,Lakme Ayurveda,0.0,600,Yes,summer,coastal,0.1
27,13,4.6,male,1000,4.8,Pepperfry,0.9,800,No,summer,plains,1.0
7,3,2.9,female,4000,3.1,Forest Essentials,0.0,500,Yes,winter,plains,0.1
23,11,4.4,male,800,4.6,Manyavar Mohey,0.7,400,No,summer,plains,0.8
12,6,3.3,female,2000,3.5,Wildcraft,0.5,500,Yes,winter,mountains,0.6
28,14,4.7,male,100,4.8,Pepe Jeans London,0.9,800,No,winter,mountains,1.0
16,8,3.8,female,900,4.0,Johnson & Johnson,0.7,200,No,summer,plains,0.8
8,4,3.2,male,3000,3.4,Fastrack,0.2,400,No,winter,plains,0.3
31,15,4.7,female,600,4.8,Wildcraft,0.9,700,No,winter,plains,1.0
20,10,4.3,male,1000,4.4,Lee,0.8,300,No,summer,plains,0.9
11,5,3.2,female,4000,3.4,Patanjali Ayurved (Health Care),0.1,500,Yes,winter,plains,0.2
28,14,4.7,male,200,4.8,Pepe Jeans London,0.9,800,No,winter,mountains,1.0
15,8,3.9,female,500,4.1,Manyavar Mohey,0.7,200,No,summer,plains,0.8
9,4,2.9,male,3000,3.1,Wildcraft,0.0,600,Yes,winter,plains,0.1
24,12,4.5,female,900,4.6,Flying Machine,0.8,300,No,winter,plains,0.9
13,7,3.7,male,100,3.8,Sugar Cosmetics,0.6,200,No,summer,coastal,0.7
6,3,2.9,female,6000,3.1,Wildcraft,0.0,500,Yes,winter,plains,0.1
21,11,4.4,male,500,4.6,Urban Ladder,0.7,400,No,summer,plains,0.8
32,16,4.8,female,2000,4.9,Lakme Ayurveda,0.9,700,No,winter,plains,1.0
17,9,4.1,male,400,4.2,Head Hunters,0.8,200,No,summer,coastal,0.9
25,13,4.6,female,300,4.7,Manyavar Mohey,0.9,800,No,winter,plains,1.0
19,9,4.2,male,200,4.3,Pepe Jeans London,0.8,300,No,summer,plains,0.9
34,17,4.9,female,7000,5.0,Wakefit,0.9,900,Yes,winter,mountains,1.0
22,11,4.5,male,1000,4.7,Wildcraft,0.8,400,No,winter,plains,0.9
16,8,3.8,female,400,4.0,Johnson & Johnson,0.7,200,No,summer,plains,0.8
10,5,3.1,male,5000,3.2,Lakme Ayurveda,0.0,600,Yes,summer,coastal,0.1
27,13,4.6,male,1000,4.8,Pepperfry,0.9,800,No,summer,plains,1.0
7,3,2.9,female,4000,3.1,Forest Essentials,0.0,500,Yes,winter,plains,0.1
23,11,4.4,male,800,4.6,Manyavar Mohey,0.7,400,No,summer,plains,0.8
12,6,3.3,female,2000,3.5,Wildcraft,0.5,500,Yes,winter,mountains,0.6
28,14,4.7,male,100,4.8,Pepe Jeans London,0.9,800,No,winter,mountains,1.0
16,8,3.8,female,900,4.0,Johnson & Johnson,0.7,200,No,summer,plains,0.8
8,4,3.2,male,3000,3.4,Fastrack,0.2,400,No,winter,plains,0.3
31,15,4.7,female,600,4.8,Wildcraft,0.9,700,No,winter,plains,1.0
20,10,4.3,male,1000,4.4,Lee,0.8,300,No,summer,plains,0.9
11,5,3.2,female,4000,3.4,Patanjali Ayurved (Health Care),0.1,500,Yes,winter,plains,0.2
28,14,4.7,male,200,4.8,Pepe Jeans London,0.9,800,No,winter,mountains,1.0
15,8,3.9,female,500,4.1,Manyavar Mohey,0.7,200,No,summer,plains,0.8
9,4,2.9,male,3000,3.1,Wildcraft,0.0,600,Yes,winter,plains,0.1
24,12,4.5,female,900,4.6,Flying Machine,0.8,300,No,winter,plains,0.9
13,7,3.7,male,100,3.8,Sugar Cosmetics,0.6,200,No,summer,coastal,0.7
6,3,2.9,female,6000,3.1,Wildcraft,0.0,500,Yes,winter,plains,0.1
21,11,4.4,male,500,4.6,Urban Ladder,0.7,400,No,summer,plains,0.8
32,16,4.8,female,2000,4.9,Lakme Ayurveda,0.9,700,No,winter,plains,1.0
17,9,4.1,male,400,4.2,Head Hunters,0.8,200,No,summer,coastal,0.9
25,13,4.6,female,300,4.7,Manyavar Mohey,0.9,800,No,winter,plains,1.0
19,9,4.2,male,200,4.3,Pepe Jeans London,0.8,300,No,summer,plains,0.9
34,17,4.9,female,7000,5.0,Wakefit,0.9,900,Yes,winter,mountains,1.0
22,11,4.5,male,1000,4.7,Wildcraft,0.8,400,No,winter,plains,0.9
16,8,3.8,female,400,4.0,Johnson & Johnson,0.7,200,No,summer,plains,0.8
10,5,3.1,male,5000,3.2,Lakme Ayurveda,0.0,600,Yes,summer,coastal,0.1
27,13,4.6,male,1000,4.8,Pepperfry,0.9,800,No,summer,plains,1.0
7,3,2.9,female,4000,3.1,Forest Essentials,0.0,500,Yes,winter,plains,0.1
23,11,4.4,male,800,4.6,Manyavar Mohey,0.7,400,No,summer,plains,0.8
12,6,3.3,female,2000,3.5,Wildcraft,0.5,500,Yes,winter,mountains,0.6
28,14,4.7,male,100,4.8,Pepe Jeans London,0.9,800,No,winter,mountains,1.0
16,8,3.8,female,900,4.0,Johnson & Johnson,0.7,200,No,summer,plains,0.8
8,4,3.2,male,3000,3.4,Fastrack,0.2,400,No,winter,plains,0.3
31,15,4.7,female,600,4.8,Wildcraft,0.9,700,No,winter,plains,1.0
20,10,4.3,male,1000,4.4,Lee,0.8,300,No,summer,plains,0.9
11,5,3.2,female,4000,3.4,Patanjali Ayurved (Health Care),0.1,500,Yes,winter,plains,0.2
28,14,4.7,male,200,4.8,Pepe Jeans London,0.9,800,No,winter,mountains,1.0
15,8,3.9,female,500,4.1,Manyavar Mohey,0.7,200,No,summer,plains,0.8
9,4,2.9,male,3000,3.1,Wildcraft,0.0,600,Yes,winter,plains,0.1
24,12,4.5,female,900,4.6,Flying Machine,0.8,300,No,winter,plains,0.9
13,7,3.7,male,100,3.8,Sugar Cosmetics,0.6,200,No,summer,coastal,0.7
6,3,2.9,female,6000,3.1,Wildcraft,0.0,500,Yes,winter,plains,0.1
21,11,4.4,male,500,4.6,Urban Ladder,0.7,400,No,summer,plains,0.8
32,16,4.8,female,2000,4.9,Lakme Ayurveda,0.9,700,No,winter,plains,1.0
17,9,4.1,male,400,4.2,Head Hunters,0.8,200,No,summer,coastal,0.9
25,13,4.6,female,300,4.7,Manyavar Mohey,0.9,800,No,winter,plains,1.0
19,9,4.2,male,200,4.3,Pepe Jeans London,0.8,300,No,summer,plains,0.9
34,17,4.9,female,7000,5.0,Wakefit,0.9,900,Yes,winter,mountains,1.0
22,11,4.5,male,1000,4.7,Wildcraft,0.8,400,No,winter,plains,0.9
16,8,3.8,female,400,4.0,Johnson & Johnson,0.7,200,No,summer,plains,0.8
10,5,3.1,male,5000,3.2,Lakme Ayurveda,0.0,600,Yes,summer,coastal,0.1
27,13,4.6,male,1000,4.8,Pepperfry,0.9,800,No,summer,plains,1.0
7,3,2.9,female,4000,3.1,Forest Essentials,0.0,500,Yes,winter,plains,0.1
23,11,4.4,male,800,4.6,Manyavar Mohey,0.7,400,No,summer,plains,0.8
12,6,3.3,female,2000,3.5,Wildcraft,0.5,500,Yes,winter,mountains,0.6
28,14,4.7,male,100,4.8,Pepe Jeans London,0.9,800,No,winter,mountains,1.0
16,8,3.8,female,900,4.0,Johnson & Johnson,0.7,200,No,summer,plains,0.8
8,4,3.2,male,3000,3.4,Fastrack,0.2,400,No,winter,plains,0.3
31,15,4.7,female,600,4.8,Wildcraft,0.9,700,No,winter,plains,1.0
20,10,4.3,male,1000,4.4,Lee,0.8,300,No,summer,plains,0.9
11,5,3.2,female,4000,3.4,Patanjali Ayurved (Health Care),0.1,500,Yes,winter,plains,0.2
28,14,4.7,male,200,4.8,Pepe Jeans London,0.9,800,No,winter,mountains,1.0
15,8,3.9,female,500,4.1,Manyavar Mohey,0.7,200,No,summer,plains,0.8
9,4,2.9,male,3000,3.1,Wildcraft,0.0,600,Yes,winter,plains,0.1
24,12,4.5,female,900,4.6,Flying Machine,0.8,300,No,winter,plains,0.9
13,7,3.7,male,100,3.8,Sugar Cosmetics,0.6,200,No,summer,coastal,0.7
6,3,2.9,female,6000,3.1,Wildcraft,0.0,500,Yes,winter,plains,0.1
21,11,4.4,male,500,4.6,Urban Ladder,0.7,400,No,summer,plains,0.8
32,16,4.8,female,2000,4.9,Lakme Ayurveda,0.9,700,No,winter,plains,1.0
17,9,4.1,male,400,4.2,Head Hunters,0.8,200,No,summer,coastal,0.9
25,13,4.6,female,300,4.7,Manyavar Mohey,0.9,800,No,winter,plains,1.0
19,9,4.2,male,200,4.3,Pepe Jeans London,0.8,300,No,summer,plains,0.9
34,17,4.9,female,7000,5.0,Wakefit,0.9,900,Yes,winter,mountains,1.0
22,11,4.5,male,1000,4.7,Wildcraft,0.8,400,No,winter,plains,0.9
16,8,3.8,female,400,4.0,Johnson & Johnson,0.7,200,No,summer,plains,0.8
10,5,3.1,male,5000,3.2,Lakme Ayurveda,0.0,600,Yes,summer,coastal,0.1
27,13,4.6,male,1000,4.8,Pepperfry,0.9,800,No,summer,plains,1.0
7,3,2.9,female,4000,3.1,Forest Essentials,0.0,500,Yes,winter,plains,0.1
23,11,4.4,male,800,4.6,Manyavar Mohey,0.7,400,No,summer,plains,0.8
12,6,3.3,female,2000,3.5,Wildcraft,0.5,500,Yes,winter,mountains,0.6
28,14,4.7,male,100,4.8,Pepe Jeans London,0.9,800,No,winter,mountains,1.0
16,8,3.8,female,900,4.0,Johnson & Johnson,0.7,200,No,summer,plains,0.8
8,4,3.2,male,3000,3.4,Fastrack,0.2,400,No,winter,plains,0.3
31,15,4.7,female,600,4.8,Wildcraft,0.9,700,No,winter,plains,1.0
20,10,4.3,male,1000,4.4,Lee,0.8,300,No,summer,plains,0.9
11,5,3.2,female,4000,3.4,Patanjali Ayurved (Health Care),0.1,500,Yes,winter,plains,0.2
28,14,4.7,male,200,4.8,Pepe Jeans London,0.9,800,No,winter,mountains,1.0
15,8,3.9,female,500,4.1,Manyavar Mohey,0.7,200,No,summer,plains,0.8
9,4,2.9,male,3000,3.1,Wildcraft,0.0,600,Yes,winter,plains,0.1
24,12,4.5,female,900,4.6,Flying Machine,0.8,300,No,winter,plains,0.9
13,7,3.7,male,100,3.8,Sugar Cosmetics,0.6,200,No,summer,coastal,0.7
6,3,2.9,female,6000,3.1,Wildcraft,0.0,500,Yes,winter,plains,0.1
21,11,4.4,male,500,4.6,Urban Ladder,0.7,400,No,summer,plains,0.8
32,16,4.8,female,2000,4.9,Lakme Ayurveda,0.9,700,No,winter,plains,1.0
17,9,4.1,male,400,4.2,Head Hunters,0.8,200,No,summer,coastal,0.9
25,13,4.6,female,300,4.7,Manyavar Mohey,0.9,800,No,winter,plains,1.0
19,9,4.2,male,200,4.3,Pepe Jeans London,0.8,300,No,summer,plains,0.9
34,17,4.9,female,7000,5.0,Wakefit,0.9,900,Yes,winter,mountains,1.0
22,11,4.5,male,1000,4.7,Wildcraft,0.8,400,No,winter,plains,0.9
16,8,3.8,female,400,4.0,Johnson & Johnson,0.7,200,No,summer,plains,0.8
10,5,3.1,male,5000,3.2,Lakme Ayurveda,0.0,600,Yes,summer,coastal,0.1
27,13,4.6,male,1000,4.8,Pepperfry,0.9,800,No,summer,plains,1.0
7,3,2.9,female,4000,3.1,Forest Essentials,0.0,500,Yes,winter,plains,0.1
23,11,4.4,male,800,4.6,Manyavar Mohey,0.7,400,No,summer,plains,0.8
12,6,3.3,female,2000,3.5,Wildcraft,0.5,500,Yes,winter,mountains,0.6
28,14,4.7,male,100,4.8,Pepe Jeans London,0.9,800,No,winter,mountains,1.0
16,8,3.8,female,900,4.0,Johnson & Johnson,0.7,200,No,summer,plains,0.8
8,4,3.2,male,3000,3.4,Fastrack,0.2,400,No,winter,plains,0.3
31,15,4.7,female,600,4.8,Wildcraft,0.9,700,No,winter,plains,1.0
20,10,4.3,male,1000,4.4,Lee,0.8,300,No,summer,plains,0.9
11,5,3.2,female,4000,3.4,Patanjali Ayurved (Health Care),0.1,500,Yes,winter,plains,0.2
28,14,4.7,male,200,4.8,Pepe Jeans London,0.9,800,No,winter,mountains,1.0
15,8,3.9,female,500,4.1,Manyavar Mohey,0.7,200,No,summer,plains,0.8
9,4,2.9,male,3000,3.1,Wildcraft,0.0,600,Yes,winter,plains,0.1
24,12,4.5,female,900,4.6,Flying Machine,0.8,300,No,winter,plains,0.9
13,7,3.7,male,100,3.8,Sugar Cosmetics,0.6,200,No,summer,coastal,0.7
6,3,2.9,female,6000,3.1,Wildcraft,0.0,500,Yes,winter,plains,0.1
21,11,4.4,male,500,4.6,Urban Ladder,0.7,400,No,summer,plains,0.8
32,16,4.8,female,2000,4.9,Lakme Ayurveda,0.9,700,No,winter,plains,1.0
17,9,4.1,male,400,4.2,Head Hunters,0.8,200,No,summer,coastal,0.9
25,13,4.6,female,300,4.7,Manyavar Mohey,0.9,800,No,winter,plains,1.0
19,9,4.2,male,200,4.3,Pepe Jeans London,0.8,300,No,summer,plains,0.9
34,17,4.9,female,7000,5.0,Wakefit,0.9,900,Yes,winter,mountains,1.0
22,11,4.5,male,1000,4.7,Wildcraft,0.8,400,No,winter,plains,0.9
16,8,3.8,female,400,4.0,Johnson & Johnson,0.7,200,No,summer,plains,0.8
10,5,3.1,male,5000,3.2,Lakme Ayurveda,0.0,600,Yes,summer,coastal,0.1
27,13,4.6,male,1000,4.8,Pepperfry,0.9,800,No,summer,plains,1.0
7,3,2.9,female,4000,3.1,Forest Essentials,0.0,500,Yes,winter,plains,0.1
23,11,4.4,male,800,4.6,Manyavar Mohey,0.7,400,No,summer,plains,0.8
12,6,3.3,female,2000,3.5,Wildcraft,0.5,500,Yes,winter,mountains,0.6
28,14,4.7,male,100,4.8,Pepe Jeans London,0.9,800,No,winter,mountains,1.0
16,8,3.8,female,900,4.0,Johnson & Johnson,0.7,200,No,summer,plains,0.8
8,4,3.2,male,3000,3.4,Fastrack,0.2,400,No,winter,plains,0.3
31,15,4.7,female,600,4.8,Wildcraft,0.9,700,No,winter,plains,1.0
20,10,4.3,male,1000,4.4,Lee,0.8,300,No,summer,plains,0.9
11,5,3.2,female,4000,3.4,Patanjali Ayurved (Health Care),0.1,500,Yes,winter,plains,0.2
28,14,4.7,male,200,4.8,Pepe Jeans London,0.9,800,No,winter,mountains,1.0
15,8,3.9,female,500,4.1,Manyavar Mohey,0.7,200,No,summer,plains,0.8
5,2,2.3,male,100,2.5,Johnson & Johnson,-0.7,100,No,summer,plains,0.1
42,21,4.9,female,2000,5.0,Wakefit,0.9,900,No,winter,mountains,1.0
14,7,3.5,male,300,3.7,Head & Shoulders,0.5,100,Yes,monsoon,plains,0.7
7,4,3.1,female,7000,3.3,Lakme Ayurveda,-0.2,1000,Yes,summer,plains,0.4
20,10,4.4,male,100,4.6,Manyavar Mohey,0.7,400,No,summer,plains,0.8
30,15,4.7,female,800,4.9,Pepperfry,0.9,700,No,winter,plains,1.0
16,9,4.2,male,5000,4.4,Lakme Ayurveda,0.7,600,Yes,summer,coastal,0.9
21,12,4.8,female,1000,5.0,Wildcraft,0.9,800,Yes,winter,mountains,1.0
11,6,3.6,male,4000,3.8,Flying Machine,0.3,500,Yes,summer,coastal,0.5
33,17,4.9,female,600,5.0,Wildcraft,0.9,700,No,winter,plains,1.0
25,12,4.4,male,300,4.6,Manyavar Mohey,0.8,400,No,summer,plains,0.9
18,9,4.3,female,7000,4.5,Lakme Ayurveda,0.8,800,Yes,summer,coastal,1.0
22,13,4.6,male,2000,4.8,Urban Ladder,0.9,900,No,winter,plains,1.0
10,5,3.0,female,100,3.2,Lee,0.0,200,Yes,summer,plains,0.1
27,13,4.6,male,300,4.8,Manyavar Mohey,0.9,800,No,summer,plains,1.0
15,8,3.9,female,4000,4.1,Pepperfry,0.7,600,Yes,winter,mountains,0.8
19,10,4.3,male,600,4.5,Johnson & Johnson,0.8,700,Yes,summer,coastal,1.0
23,14,4.7,female,1000,4.9,Wildcraft,0.9,800,No,winter,plains,1.0
13,7,3.7,male,400,3.8,Sugar Cosmetics,0.6,200,No,summer,coastal,0.7
28,15,4.8,female,500,5.0,Wakefit,0.9,900,Yes,summer,plains,1.0
17,9,4.2,male,200,4.4,Flying Machine,0.8,300,No,winter,plains,0.9
31,16,4.8,female,800,5.0,Pepperfry,0.9,700,No,winter,plains,1.0
12,6,3.5,male,5000,3.7,Urban Ladder,0.4,600,Yes,summer,coastal,0.6
26,13,4.5,female,300,4.7,Manyavar Mohey,0.8,400,No,summer,plains,0.9
10,5,3.0,female,100,3.2,Lee,0.0,200,Yes,summer,plains,0.1
27,13,4.6,male,300,4.8,Manyavar Mohey,0.9,800,No,summer,plains,1.0
15,8,3.9,female,4000,4.1,Pepperfry,0.7,600,Yes,winter,mountains,0.8
19,10,4.3,male,600,4.5,Johnson & Johnson,0.8,700,Yes,summer,coastal,1.0
23,14,4.7,female,1000,4.9,Wildcraft,0.9,800,No,winter,plains,1.0
13,7,3.7,male,400,3.8,Sugar Cosmetics,0.6,200,No,summer,coastal,0.7
28,15,4.8,female,500,5.0,Wakefit,0.9,900,Yes,summer,plains,1.0
17,9,4.2,male,200,4.4,Flying Machine,0.8,300,No,winter,plains,0.9
31,16,4.8,female,800,5.0,Pepperfry,0.9,700,No,winter,plains,1.0
12,6,3.5,male,5000,3.7,Urban Ladder,0.4,600,Yes,summer,coastal,0.6
26,13,4.5,female,300,4.7,Manyavar Mohey,0.8,400,No,summer,plains,0.9
9,5,3.2,male,400,3.4,AmazonBasics,-0.1,500,Yes,winter,plains,0.3
20,11,4.4,female,2000,4.6,Wildcraft,0.8,700,No,winter,plains,0.9
14,8,3.8,male,1000,4.0,Pepe Jeans London,0.7,200,No,summer,plains,0.8
29,15,4.8,female,6000,5.0,Lakme Ayurveda,0.9,800,Yes,winter,plains,1.0
18,10,4.3,male,300,4.5,Manyavar Mohey,0.8,500,No,summer,plains,0.9
